Prefixo,Nexthop,as-path,Origem Prefixo
116.89.251.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '132813'])"
66.115.108.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
129.91.64.0/18,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['7160', '14506'])"
195.189.100.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['43973', '41085'])"
2806:2f0:2240::/43,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['22884', '17072'])"
114.112.104.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
50.228.121.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397380', '33287'])"
134.119.103.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
103.49.80.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137502', '43519'])"
2405:1c0:6332::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
24.112.92.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
2405:1c0:7183::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
43.243.103.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
2405:1c0:7193::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
213.9.186.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
177.39.232.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55002', '52797'])"
111.95.245.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['7632', '55794'])"
185.236.231.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['49349', '47674'])"
